graph,n,original_edges,spanner_edges,k,stretch,selected_edges,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_connected_n30_extra30_seed104,30,59,53,1,1.0,53,10.169492,3297.0,2817.0,1023.0,1.0,0,0,2.753666,1.0,1.0,900.0,0.058889,,,random_connected,0.8983050847457628,900.0,0.058889,
random_connected_n30_extra30_seed104,30,59,31,2,3.0,31,47.457627,3297.0,1149.0,1023.0,2.9125,0,0,1.123167,3.0,0.970833,164.316767,0.18866,,,random_connected,0.5254237288135594,164.316767,0.18866,
random_connected_n30_extra30_seed104,30,59,30,3,5.0,30,49.152542,3297.0,1104.0,1023.0,4.1,0,0,1.079179,5.0,0.82,93.216975,0.32183,,,random_connected,0.5084745762711864,93.216975,0.32183,
random_connected_n30_extra30_seed104,30,59,29,4,7.0,29,50.847458,3297.0,1023.0,1023.0,5.049383,0,0,1.0,7.0,0.72134,70.21042,0.413044,,,random_connected,0.4915254237288136,70.21042,0.413044,
random_connected_n30_extra30_seed104,30,59,29,5,9.0,29,50.847458,3297.0,1023.0,1023.0,5.049383,0,0,1.0,9.0,0.561043,59.230515,0.489612,,,random_connected,0.4915254237288136,59.230515,0.489612,
random_connected_n40_extra120_seed105,40,159,96,1,1.0,96,39.622642,8019.0,3253.0,592.0,1.0,0,2,5.494932,1.0,1.0,1600.0,0.06,,,random_connected,0.6037735849056604,1600.0,0.06,
random_connected_n40_extra120_seed105,40,159,46,2,3.0,46,71.069182,8019.0,817.0,592.0,2.880952,0,1,1.380068,3.0,0.960317,252.982213,0.181831,,,random_connected,0.2893081761006289,252.982213,0.181831,
random_connected_n40_extra120_seed105,40,159,39,3,5.0,39,75.471698,8019.0,592.0,592.0,4.875,0,1,1.0,5.0,0.975,136.798076,0.285092,,,random_connected,0.24528301886792453,136.798076,0.285092,
random_connected_n40_extra120_seed105,40,159,39,4,7.0,39,75.471698,8019.0,592.0,592.0,4.875,0,1,1.0,7.0,0.696429,100.594674,0.387694,,,random_connected,0.24528301886792453,100.594674,0.387694,
random_connected_n40_extra120_seed105,40,159,39,5,9.0,39,75.471698,8019.0,592.0,592.0,4.875,0,1,1.0,9.0,0.541667,83.651164,0.466222,,,random_connected,0.24528301886792453,83.651164,0.466222,
path_n60,60,59,59,1,1.0,59,0.0,59.0,59.0,59.0,1.0,0,0,1.0,1.0,1.0,3600.0,0.016389,,,path,1.0,3600.0,0.016389,
path_n60,60,59,59,2,3.0,59,0.0,59.0,59.0,59.0,1.0,0,0,1.0,3.0,0.333333,464.758002,0.126948,118.0,0.5,path,1.0,464.758002,0.126948,0.5
path_n60,60,59,59,3,5.0,59,0.0,59.0,59.0,59.0,1.0,0,0,1.0,5.0,0.2,234.892058,0.251179,88.5,0.666667,path,1.0,234.892058,0.251179,0.666667
path_n60,60,59,59,4,7.0,59,0.0,59.0,59.0,59.0,1.0,0,0,1.0,7.0,0.142857,166.989461,0.353316,78.666667,0.75,path,1.0,166.989461,0.353316,0.75
path_n60,60,59,59,5,9.0,59,0.0,59.0,59.0,59.0,1.0,0,0,1.0,9.0,0.111111,136.075989,0.433581,73.75,0.8,path,1.0,136.075989,0.433581,0.8
path_n100,100,99,99,1,1.0,99,0.0,99.0,99.0,99.0,1.0,0,0,1.0,1.0,1.0,10000.0,0.0099,,,path,1.0,10000.0,0.0099,
path_n100,100,99,99,2,3.0,99,0.0,99.0,99.0,99.0,1.0,0,0,1.0,3.0,0.333333,1000.0,0.099,198.0,0.5,path,1.0,1000.0,0.099,0.5
path_n100,100,99,99,3,5.0,99,0.0,99.0,99.0,99.0,1.0,0,0,1.0,5.0,0.2,464.158883,0.213289,148.5,0.666667,path,1.0,464.158883,0.213289,0.666667
path_n100,100,99,99,4,7.0,99,0.0,99.0,99.0,99.0,1.0,0,0,1.0,7.0,0.142857,316.227766,0.313065,132.0,0.75,path,1.0,316.227766,0.313065,0.75
path_n100,100,99,99,5,9.0,99,0.0,99.0,99.0,99.0,1.0,0,0,1.0,9.0,0.111111,251.188643,0.394126,123.75,0.8,path,1.0,251.188643,0.394126,0.8
path_n150,150,149,149,1,1.0,149,0.0,149.0,149.0,149.0,1.0,0,1,1.0,1.0,1.0,22500.0,0.006622,,,path,1.0,22500.0,0.006622,
path_n150,150,149,149,2,3.0,149,0.0,149.0,149.0,149.0,1.0,0,2,1.0,3.0,0.333333,1837.117307,0.081105,298.0,0.5,path,1.0,1837.117307,0.081105,0.5
path_n150,150,149,149,3,5.0,149,0.0,149.0,149.0,149.0,1.0,0,1,1.0,5.0,0.2,796.993927,0.186952,223.5,0.666667,path,1.0,796.993927,0.186952,0.666667
path_n150,150,149,149,4,7.0,149,0.0,149.0,149.0,149.0,1.0,0,0,1.0,7.0,0.142857,524.945327,0.283839,198.666667,0.75,path,1.0,524.945327,0.283839,0.75
path_n150,150,149,149,5,9.0,149,0.0,149.0,149.0,149.0,1.0,0,0,1.0,9.0,0.111111,408.610489,0.36465,186.25,0.8,path,1.0,408.610489,0.36465,0.8
cycle_n60,60,60,60,1,1.0,60,0.0,60.0,60.0,59.0,1.0,0,0,1.016949,1.0,1.0,3600.0,0.016667,,,cycle,1.0,3600.0,0.016667,
cycle_n60,60,60,60,2,3.0,60,0.0,60.0,60.0,59.0,1.0,0,0,1.016949,3.0,0.333333,464.758002,0.129099,118.0,0.508475,cycle,1.0,464.758002,0.129099,0.508475
cycle_n60,60,60,60,3,5.0,60,0.0,60.0,60.0,59.0,1.0,0,0,1.016949,5.0,0.2,234.892058,0.255436,88.5,0.677966,cycle,1.0,234.892058,0.255436,0.677966
cycle_n60,60,60,60,4,7.0,60,0.0,60.0,60.0,59.0,1.0,0,0,1.016949,7.0,0.142857,166.989461,0.359304,78.666667,0.762712,cycle,1.0,166.989461,0.359304,0.762712
cycle_n60,60,60,60,5,9.0,60,0.0,60.0,60.0,59.0,1.0,0,0,1.016949,9.0,0.111111,136.075989,0.44093,73.75,0.813559,cycle,1.0,136.075989,0.44093,0.813559
cycle_n100,100,100,100,1,1.0,100,0.0,100.0,100.0,99.0,1.0,0,0,1.010101,1.0,1.0,10000.0,0.01,,,cycle,1.0,10000.0,0.01,
cycle_n100,100,100,100,2,3.0,100,0.0,100.0,100.0,99.0,1.0,0,0,1.010101,3.0,0.333333,1000.0,0.1,198.0,0.505051,cycle,1.0,1000.0,0.1,0.505051
cycle_n100,100,100,100,3,5.0,100,0.0,100.0,100.0,99.0,1.0,0,0,1.010101,5.0,0.2,464.158883,0.215443,148.5,0.673401,cycle,1.0,464.158883,0.215443,0.673401
cycle_n100,100,100,100,4,7.0,100,0.0,100.0,100.0,99.0,1.0,0,1,1.010101,7.0,0.142857,316.227766,0.316228,132.0,0.757576,cycle,1.0,316.227766,0.316228,0.757576
cycle_n100,100,100,100,5,9.0,100,0.0,100.0,100.0,99.0,1.0,0,0,1.010101,9.0,0.111111,251.188643,0.398107,123.75,0.808081,cycle,1.0,251.188643,0.398107,0.808081
cycle_n150,150,150,150,1,1.0,150,0.0,150.0,150.0,149.0,1.0,0,3,1.006711,1.0,1.0,22500.0,0.006667,,,cycle,1.0,22500.0,0.006667,
cycle_n150,150,150,150,2,3.0,150,0.0,150.0,150.0,149.0,1.0,0,1,1.006711,3.0,0.333333,1837.117307,0.08165,298.0,0.503356,cycle,1.0,1837.117307,0.08165,0.503356
cycle_n150,150,150,150,3,5.0,150,0.0,150.0,150.0,149.0,1.0,0,2,1.006711,5.0,0.2,796.993927,0.188207,223.5,0.671141,cycle,1.0,796.993927,0.188207,0.671141
cycle_n150,150,150,150,4,7.0,150,0.0,150.0,150.0,149.0,1.0,0,1,1.006711,7.0,0.142857,524.945327,0.285744,198.666667,0.755034,cycle,1.0,524.945327,0.285744,0.755034
cycle_n150,150,150,150,5,9.0,150,0.0,150.0,150.0,149.0,1.0,0,1,1.006711,9.0,0.111111,408.610489,0.367098,186.25,0.805369,cycle,1.0,408.610489,0.367098,0.805369
cycle_threshold_n6,6,6,6,1,1.0,6,0.0,6.0,6.0,5.0,1.0,0,0,1.2,1.0,1.0,36.0,0.166667,,,cycle_threshold,1.0,36.0,0.166667,
cycle_threshold_n6,6,6,6,2,3.0,6,0.0,6.0,6.0,5.0,1.0,0,0,1.2,3.0,0.333333,14.696938,0.408248,10.0,0.6,cycle_threshold,1.0,14.696938,0.408248,0.6
cycle_threshold_n6,6,6,5,3,5.0,5,16.666667,6.0,5.0,5.0,5.0,0,0,1.0,5.0,1.0,10.902724,0.458601,7.5,0.666667,cycle_threshold,0.8333333333333334,10.902724,0.458601,0.666667
cycle_threshold_n6,6,6,5,4,7.0,5,16.666667,6.0,5.0,5.0,5.0,0,0,1.0,7.0,0.714286,9.390507,0.532453,6.666667,0.75,cycle_threshold,0.8333333333333334,9.390507,0.532453,0.75
cycle_threshold_n6,6,6,5,5,9.0,5,16.666667,6.0,5.0,5.0,5.0,0,0,1.0,9.0,0.555556,8.585814,0.582356,6.25,0.8,cycle_threshold,0.8333333333333334,8.585814,0.582356,0.8
