family,k,scenarios,avg_original_edges,avg_spanner_edges,avg_edge_reduction_percent,avg_weight_over_mst,max_observed_stretch,avg_runtime_ms,avg_general_bound_ratio
theta_lower_bound,4,4,90.0,80.5,13.854166750000001,1.10567175,7.0,0.25,0.37738475
theta_lower_bound,5,4,90.0,75.75,18.60416675,1.04702975,9.0,0.0,0.44223124999999996
tree,1,4,84.0,84.0,0.0,1.0,1.0,0.25,0.01628325
tree,2,4,84.0,84.0,0.0,1.0,1.0,0.25,0.12088525
tree,3,4,84.0,84.0,0.0,1.0,1.0,0.25,0.2406305
tree,4,4,84.0,84.0,0.0,1.0,1.0,0.25,0.340816
tree,5,4,84.0,84.0,0.0,1.0,1.0,0.0,0.42049225
wide_weights,1,2,359.0,256.0,28.4229385,7.2366095,1.0,3.5,0.0322375
wide_weights,2,2,359.0,109.0,69.5390515,1.4521739999999999,2.958549,2.0,0.128877
wide_weights,3,2,359.0,93.5,73.926588,1.0931925,4.982877,1.5,0.232795
wide_weights,4,2,359.0,91.0,74.6474335,1.032676,6.366197,1.5,0.32897
wide_weights,5,2,359.0,89.0,75.21154000000001,1.0,8.866953,1.5,0.4025995
