k,avg_spanner_edges,avg_edge_reduction_percent,avg_weight_over_mst,max_observed_stretch,avg_runtime_ms,avg_general_bound_ratio,avg_stretch_utilization
1,147.53703703703704,24.241620185185184,3.908834351851852,1.0,2.3703703703703702,0.059880666666666665,1.0
2,78.61111111111111,43.501087185185185,1.2239923518518518,3.0,1.3888888888888888,0.16369146296296297,0.711014462962963
3,71.92592592592592,46.39685598148148,1.0647300925925924,5.0,0.9814814814814815,0.2787387037037037,0.6448913148148149
4,70.03703703703704,47.888991555555556,1.023965962962963,7.0,1.0,0.37089587037037036,0.6035637592592593
5,69.20370370370371,48.559049351851854,1.0092801296296297,9.0,0.8518518518518519,0.4441739074074074,0.5607972962962963
