graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio,family,edge_density,er_probability,is_large_random_er,spanner_edges_over_original,theoretical_general_size_bound,spanner_edges_over_general_bound,spanner_edges_over_planar_bound
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,3268,1,1.0,80.306135,833860.0,35719.0,2699.0,1.0,0,2710,13.234161,1.0,1.0,640000.0,0.005106,,,random_er,0.051921151439299124,0.05,True,0.19693865252500903,640000.0,0.005106,
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,1245,2,3.0,92.497288,833860.0,5572.0,2699.0,3.0,0,1768,2.064468,3.0,1.0,22627.416998,0.055022,,,random_er,0.051921151439299124,0.05,True,0.07502711823550681,22627.416998,0.055022,
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,952,3,5.0,94.262987,833860.0,3493.0,2699.0,5.0,0,1556,1.294183,5.0,1.0,7426.542134,0.128189,,,random_er,0.051921151439299124,0.05,True,0.05737013378329517,7426.542134,0.128189,
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,870,4,7.0,94.757141,833860.0,3028.0,2699.0,7.0,0,1464,1.121897,7.0,1.0,4254.636718,0.204483,,,random_er,0.051921151439299124,0.05,True,0.052428588646498735,4254.636718,0.204483,
random_connected_er_p005_n800_p0.050_rep2_seed83001,800,16594,834,5,9.0,94.974087,833860.0,2847.0,2699.0,8.857143,0,1422,1.054835,9.0,0.984127,3045.846302,0.273816,,,random_er,0.051921151439299124,0.05,True,0.050259129805953956,3045.846302,0.273816,
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,3244,1,1.0,80.706554,848661.0,35572.0,2665.0,1.0,0,2719,13.347842,1.0,1.0,640000.0,0.005069,,,random_er,0.05260951188986233,0.05,True,0.19293445937908885,640000.0,0.005069,
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,1228,2,3.0,92.696562,848661.0,5450.0,2665.0,3.0,0,1806,2.045028,3.0,1.0,22627.416998,0.05427,,,random_er,0.05260951188986233,0.05,True,0.07303437611514214,22627.416998,0.05427,
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,939,3,5.0,94.415368,848661.0,3377.0,2665.0,5.0,0,1588,1.267167,5.0,1.0,7426.542134,0.126438,,,random_er,0.05260951188986233,0.05,True,0.05584631854407042,7426.542134,0.126438,
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,861,4,7.0,94.879267,848661.0,2946.0,2665.0,7.0,0,1517,1.105441,7.0,1.0,4254.636718,0.202367,,,random_er,0.05260951188986233,0.05,True,0.05120732722731058,4254.636718,0.202367,
random_connected_er_p005_n800_p0.050_rep3_seed83002,800,16814,826,5,9.0,95.087427,848661.0,2779.0,2665.0,9.0,0,1432,1.042777,9.0,1.0,3045.846302,0.271189,,,random_er,0.05260951188986233,0.05,True,0.049125728559533725,3045.846302,0.271189,
