k,avg_spanner_edges,avg_edge_reduction_percent,avg_weight_over_mst,max_observed_stretch,avg_runtime_ms,avg_general_bound_ratio,avg_stretch_utilization
1,1361.5588235294117,61.19456585294118,9.440119558823529,1.0,562.8823529411765,0.011683058823529413,1.0
2,555.0882352941177,82.27861335294118,1.6911427647058823,3.0,375.8235294117647,0.07756373529411764,0.9983168235294118
3,449.2352941176471,85.06629920588234,1.1877907352941175,5.0,332.79411764705884,0.1638254705882353,0.9925095588235294
4,418.4117647058824,85.83564432352942,1.0723269999999998,7.0,313.3529411764706,0.24767350000000002,0.9854967352941176
5,406.20588235294116,86.17716667647059,1.0303250294117647,9.0,302.94117647058823,0.32106947058823526,0.9640992647058824
