graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_er_p002_n400_p0.020_rep3_seed42002,400,1954,417,4,7.000000,78.659161,99545.000000,5498.000000,5185.000000,6.928571,0,69,1.060366,7.000000,0.989796,1788.854382,0.233110,NaN,NaN
random_connected_er_p002_n400_p0.020_rep3_seed42002,400,1954,406,5,9.000000,79.222108,99545.000000,5305.000000,5185.000000,8.705882,0,69,1.023144,9.000000,0.967320,1325.781607,0.306234,NaN,NaN
random_connected_er_p002_n800_p0.020_rep1_seed82000,800,7202,2980,1,1.000000,58.622605,361828.000000,68234.000000,5723.000000,1.000000,0,1096,11.922768,1.000000,1.000000,640000.000000,0.004656,NaN,NaN
random_connected_er_p002_n800_p0.020_rep1_seed82000,800,7202,1150,2,3.000000,84.032213,361828.000000,10343.000000,5723.000000,3.000000,0,761,1.807269,3.000000,1.000000,22627.416998,0.050823,NaN,NaN
random_connected_er_p002_n800_p0.020_rep1_seed82000,800,7202,923,3,5.000000,87.184116,361828.000000,7050.000000,5723.000000,5.000000,0,694,1.231871,5.000000,1.000000,7426.542134,0.124284,NaN,NaN
random_connected_er_p002_n800_p0.020_rep1_seed82000,800,7202,843,4,7.000000,88.294918,361828.000000,6162.000000,5723.000000,7.000000,0,647,1.076708,7.000000,1.000000,4254.636718,0.198137,NaN,NaN
random_connected_er_p002_n800_p0.020_rep1_seed82000,800,7202,823,5,9.000000,88.572619,361828.000000,5956.000000,5723.000000,9.000000,0,621,1.040713,9.000000,1.000000,3045.846302,0.270204,NaN,NaN
random_connected_er_p002_n800_p0.020_rep2_seed82001,800,7253,3100,1,1.000000,57.259065,364478.000000,73056.000000,5796.000000,1.000000,0,1074,12.604555,1.000000,1.000000,640000.000000,0.004844,NaN,NaN
random_connected_er_p002_n800_p0.020_rep2_seed82001,800,7253,1156,2,3.000000,84.061768,364478.000000,10897.000000,5796.000000,3.000000,0,743,1.880090,3.000000,1.000000,22627.416998,0.051088,NaN,NaN
random_connected_er_p002_n800_p0.020_rep2_seed82001,800,7253,911,3,5.000000,87.439680,364478.000000,7058.000000,5796.000000,5.000000,0,660,1.217736,5.000000,1.000000,7426.542134,0.122668,NaN,NaN
random_connected_er_p002_n800_p0.020_rep2_seed82001,800,7253,851,4,7.000000,88.266924,364478.000000,6315.000000,5796.000000,7.000000,0,626,1.089545,7.000000,1.000000,4254.636718,0.200017,NaN,NaN
random_connected_er_p002_n800_p0.020_rep2_seed82001,800,7253,825,5,9.000000,88.625396,364478.000000,6031.000000,5796.000000,9.000000,0,623,1.040545,9.000000,1.000000,3045.846302,0.270861,NaN,NaN
random_connected_er_p002_n800_p0.020_rep3_seed82002,800,7207,3196,1,1.000000,55.654225,362903.000000,78937.000000,5927.000000,1.000000,0,1104,13.318205,1.000000,1.000000,640000.000000,0.004994,NaN,NaN
random_connected_er_p002_n800_p0.020_rep3_seed82002,800,7207,1207,2,3.000000,83.252394,362903.000000,11917.000000,5927.000000,3.000000,0,731,2.010629,3.000000,1.000000,22627.416998,0.053342,NaN,NaN
random_connected_er_p002_n800_p0.020_rep3_seed82002,800,7207,945,3,5.000000,86.887748,362903.000000,7701.000000,5927.000000,5.000000,0,656,1.299308,5.000000,1.000000,7426.542134,0.127246,NaN,NaN
random_connected_er_p002_n800_p0.020_rep3_seed82002,800,7207,863,4,7.000000,88.025531,362903.000000,6632.000000,5927.000000,7.000000,0,617,1.118947,7.000000,1.000000,4254.636718,0.202838,NaN,NaN
