graph,n,original_edges,spanner_edges,k,stretch,edge_reduction_percent,original_weight,spanner_weight,mst_weight,max_stretch,stretch_violations,runtime_ms,weight_over_mst,allowed_stretch,stretch_utilization,general_size_bound,general_size_bound_ratio,planar_size_bound,planar_size_bound_ratio
random_connected_n30_extra30_seed104,30,59,31,2,3.000000,47.457627,3297.000000,1149.000000,1023.000000,2.912500,0,0,1.123167,3.000000,0.970833,164.316767,0.188660,NaN,NaN
random_connected_n30_extra30_seed104,30,59,30,3,5.000000,49.152542,3297.000000,1104.000000,1023.000000,4.100000,0,0,1.079179,5.000000,0.820000,93.216975,0.321830,NaN,NaN
random_connected_n30_extra30_seed104,30,59,29,4,7.000000,50.847458,3297.000000,1023.000000,1023.000000,5.049383,0,0,1.000000,7.000000,0.721340,70.210420,0.413044,NaN,NaN
random_connected_n30_extra30_seed104,30,59,29,5,9.000000,50.847458,3297.000000,1023.000000,1023.000000,5.049383,0,0,1.000000,9.000000,0.561043,59.230515,0.489612,NaN,NaN
random_connected_n40_extra120_seed105,40,159,96,1,1.000000,39.622642,8019.000000,3253.000000,592.000000,1.000000,0,1,5.494932,1.000000,1.000000,1600.000000,0.060000,NaN,NaN
random_connected_n40_extra120_seed105,40,159,46,2,3.000000,71.069182,8019.000000,817.000000,592.000000,2.880952,0,1,1.380068,3.000000,0.960317,252.982213,0.181831,NaN,NaN
random_connected_n40_extra120_seed105,40,159,39,3,5.000000,75.471698,8019.000000,592.000000,592.000000,4.875000,0,0,1.000000,5.000000,0.975000,136.798076,0.285092,NaN,NaN
random_connected_n40_extra120_seed105,40,159,39,4,7.000000,75.471698,8019.000000,592.000000,592.000000,4.875000,0,1,1.000000,7.000000,0.696429,100.594674,0.387694,NaN,NaN
random_connected_n40_extra120_seed105,40,159,39,5,9.000000,75.471698,8019.000000,592.000000,592.000000,4.875000,0,0,1.000000,9.000000,0.541667,83.651164,0.466222,NaN,NaN
path_n60,60,59,59,1,1.000000,0.000000,59.000000,59.000000,59.000000,1.000000,0,0,1.000000,1.000000,1.000000,3600.000000,0.016389,NaN,NaN
path_n60,60,59,59,2,3.000000,0.000000,59.000000,59.000000,59.000000,1.000000,0,0,1.000000,3.000000,0.333333,464.758002,0.126948,118.000000,0.500000
path_n60,60,59,59,3,5.000000,0.000000,59.000000,59.000000,59.000000,1.000000,0,0,1.000000,5.000000,0.200000,234.892058,0.251179,88.500000,0.666667
path_n60,60,59,59,4,7.000000,0.000000,59.000000,59.000000,59.000000,1.000000,0,0,1.000000,7.000000,0.142857,166.989461,0.353316,78.666667,0.750000
path_n60,60,59,59,5,9.000000,0.000000,59.000000,59.000000,59.000000,1.000000,0,0,1.000000,9.000000,0.111111,136.075989,0.433581,73.750000,0.800000
path_n100,100,99,99,1,1.000000,0.000000,99.000000,99.000000,99.000000,1.000000,0,0,1.000000,1.000000,1.000000,10000.000000,0.009900,NaN,NaN
path_n100,100,99,99,2,3.000000,0.000000,99.000000,99.000000,99.000000,1.000000,0,0,1.000000,3.000000,0.333333,1000.000000,0.099000,198.000000,0.500000
path_n100,100,99,99,3,5.000000,0.000000,99.000000,99.000000,99.000000,1.000000,0,1,1.000000,5.000000,0.200000,464.158883,0.213289,148.500000,0.666667
path_n100,100,99,99,4,7.000000,0.000000,99.000000,99.000000,99.000000,1.000000,0,0,1.000000,7.000000,0.142857,316.227766,0.313065,132.000000,0.750000
path_n100,100,99,99,5,9.000000,0.000000,99.000000,99.000000,99.000000,1.000000,0,0,1.000000,9.000000,0.111111,251.188643,0.394126,123.750000,0.800000
path_n150,150,149,149,1,1.000000,0.000000,149.000000,149.000000,149.000000,1.000000,0,1,1.000000,1.000000,1.000000,22500.000000,0.006622,NaN,NaN
path_n150,150,149,149,2,3.000000,0.000000,149.000000,149.000000,149.000000,1.000000,0,1,1.000000,3.000000,0.333333,1837.117307,0.081105,298.000000,0.500000
path_n150,150,149,149,3,5.000000,0.000000,149.000000,149.000000,149.000000,1.000000,0,1,1.000000,5.000000,0.200000,796.993927,0.186952,223.500000,0.666667
path_n150,150,149,149,4,7.000000,0.000000,149.000000,149.000000,149.000000,1.000000,0,1,1.000000,7.000000,0.142857,524.945327,0.283839,198.666667,0.750000
path_n150,150,149,149,5,9.000000,0.000000,149.000000,149.000000,149.000000,1.000000,0,0,1.000000,9.000000,0.111111,408.610489,0.364650,186.250000,0.800000
cycle_n60,60,60,60,1,1.000000,0.000000,60.000000,60.000000,59.000000,1.000000,0,0,1.016949,1.000000,1.000000,3600.000000,0.016667,NaN,NaN
cycle_n60,60,60,60,2,3.000000,0.000000,60.000000,60.000000,59.000000,1.000000,0,0,1.016949,3.000000,0.333333,464.758002,0.129099,118.000000,0.508475
cycle_n60,60,60,60,3,5.000000,0.000000,60.000000,60.000000,59.000000,1.000000,0,0,1.016949,5.000000,0.200000,234.892058,0.255436,88.500000,0.677966
cycle_n60,60,60,60,4,7.000000,0.000000,60.000000,60.000000,59.000000,1.000000,0,0,1.016949,7.000000,0.142857,166.989461,0.359304,78.666667,0.762712
cycle_n60,60,60,60,5,9.000000,0.000000,60.000000,60.000000,59.000000,1.000000,0,0,1.016949,9.000000,0.111111,136.075989,0.440930,73.750000,0.813559
cycle_n100,100,100,100,1,1.000000,0.000000,100.000000,100.000000,99.000000,1.000000,0,0,1.010101,1.000000,1.000000,10000.000000,0.010000,NaN,NaN
cycle_n100,100,100,100,2,3.000000,0.000000,100.000000,100.000000,99.000000,1.000000,0,0,1.010101,3.000000,0.333333,1000.000000,0.100000,198.000000,0.505051
cycle_n100,100,100,100,3,5.000000,0.000000,100.000000,100.000000,99.000000,1.000000,0,0,1.010101,5.000000,0.200000,464.158883,0.215443,148.500000,0.673401
cycle_n100,100,100,100,4,7.000000,0.000000,100.000000,100.000000,99.000000,1.000000,0,0,1.010101,7.000000,0.142857,316.227766,0.316228,132.000000,0.757576
cycle_n100,100,100,100,5,9.000000,0.000000,100.000000,100.000000,99.000000,1.000000,0,0,1.010101,9.000000,0.111111,251.188643,0.398107,123.750000,0.808081
cycle_n150,150,150,150,1,1.000000,0.000000,150.000000,150.000000,149.000000,1.000000,0,2,1.006711,1.000000,1.000000,22500.000000,0.006667,NaN,NaN
cycle_n150,150,150,150,2,3.000000,0.000000,150.000000,150.000000,149.000000,1.000000,0,1,1.006711,3.000000,0.333333,1837.117307,0.081650,298.000000,0.503356
cycle_n150,150,150,150,3,5.000000,0.000000,150.000000,150.000000,149.000000,1.000000,0,1,1.006711,5.000000,0.200000,796.993927,0.188207,223.500000,0.671141
cycle_n150,150,150,150,4,7.000000,0.000000,150.000000,150.000000,149.000000,1.000000,0,1,1.006711,7.000000,0.142857,524.945327,0.285744,198.666667,0.755034
cycle_n150,150,150,150,5,9.000000,0.000000,150.000000,150.000000,149.000000,1.000000,0,1,1.006711,9.000000,0.111111,408.610489,0.367098,186.250000,0.805369
cycle_threshold_n6,6,6,6,1,1.000000,0.000000,6.000000,6.000000,5.000000,1.000000,0,0,1.200000,1.000000,1.000000,36.000000,0.166667,NaN,NaN
cycle_threshold_n6,6,6,6,2,3.000000,0.000000,6.000000,6.000000,5.000000,1.000000,0,0,1.200000,3.000000,0.333333,14.696938,0.408248,10.000000,0.600000
cycle_threshold_n6,6,6,5,3,5.000000,16.666667,6.000000,5.000000,5.000000,5.000000,0,0,1.000000,5.000000,1.000000,10.902724,0.458601,7.500000,0.666667
cycle_threshold_n6,6,6,5,4,7.000000,16.666667,6.000000,5.000000,5.000000,5.000000,0,0,1.000000,7.000000,0.714286,9.390507,0.532453,6.666667,0.750000
cycle_threshold_n6,6,6,5,5,9.000000,16.666667,6.000000,5.000000,5.000000,5.000000,0,0,1.000000,9.000000,0.555556,8.585814,0.582356,6.250000,0.800000
cycle_threshold_n7,7,7,7,1,1.000000,0.000000,7.000000,7.000000,6.000000,1.000000,0,0,1.166667,1.000000,1.000000,49.000000,0.142857,NaN,NaN
cycle_threshold_n7,7,7,7,2,3.000000,0.000000,7.000000,7.000000,6.000000,1.000000,0,0,1.166667,3.000000,0.333333,18.520259,0.377964,12.000000,0.583333
cycle_threshold_n7,7,7,7,3,5.000000,0.000000,7.000000,7.000000,6.000000,1.000000,0,0,1.166667,5.000000,0.200000,13.390518,0.522758,9.000000,0.777778
cycle_threshold_n7,7,7,6,4,7.000000,14.285714,7.000000,6.000000,6.000000,6.000000,0,0,1.000000,7.000000,0.857143,11.386036,0.526961,8.000000,0.750000
cycle_threshold_n7,7,7,6,5,9.000000,14.285714,7.000000,6.000000,6.000000,6.000000,0,0,1.000000,9.000000,0.666667,10.330412,0.580809,7.500000,0.800000
cycle_threshold_n8,8,8,8,1,1.000000,0.000000,8.000000,8.000000,7.000000,1.000000,0,0,1.142857,1.000000,1.000000,64.000000,0.125000,NaN,NaN
cycle_threshold_n8,8,8,8,2,3.000000,0.000000,8.000000,8.000000,7.000000,1.000000,0,0,1.142857,3.000000,0.333333,22.627417,0.353553,14.000000,0.571429
cycle_threshold_n8,8,8,8,3,5.000000,0.000000,8.000000,8.000000,7.000000,1.000000,0,0,1.142857,5.000000,0.200000,16.000000,0.500000,10.500000,0.761905
cycle_threshold_n8,8,8,7,4,7.000000,12.500000,8.000000,7.000000,7.000000,7.000000,0,0,1.000000,7.000000,1.000000,13.454343,0.520278,9.333333,0.750000
cycle_threshold_n8,8,8,7,5,9.000000,12.500000,8.000000,7.000000,7.000000,7.000000,0,0,1.000000,9.000000,0.777778,12.125733,0.577285,8.750000,0.800000
cycle_threshold_n10,10,10,10,1,1.000000,0.000000,10.000000,10.000000,9.000000,1.000000,0,0,1.111111,1.000000,1.000000,100.000000,0.100000,NaN,NaN
cycle_threshold_n10,10,10,10,2,3.000000,0.000000,10.000000,10.000000,9.000000,1.000000,0,0,1.111111,3.000000,0.333333,31.622777,0.316228,18.000000,0.555556
cycle_threshold_n10,10,10,10,3,5.000000,0.000000,10.000000,10.000000,9.000000,1.000000,0,0,1.111111,5.000000,0.200000,21.544347,0.464159,13.500000,0.740741
cycle_threshold_n10,10,10,10,4,7.000000,0.000000,10.000000,10.000000,9.000000,1.000000,0,0,1.111111,7.000000,0.142857,17.782794,0.562341,12.000000,0.833333
cycle_threshold_n10,10,10,9,5,9.000000,10.000000,10.000000,9.000000,9.000000,9.000000,0,0,1.000000,9.000000,1.000000,15.848932,0.567862,11.250000,0.800000
random_tree_n60_seed210,60,59,59,1,1.000000,0.000000,2492.000000,2492.000000,2492.000000,1.000000,0,0,1.000000,1.000000,1.000000,3600.000000,0.016389,NaN,NaN
random_tree_n60_seed210,60,59,59,2,3.000000,0.000000,2492.000000,2492.000000,2492.000000,1.000000,0,0,1.000000,3.000000,0.333333,464.758002,0.126948,118.000000,0.500000
random_tree_n60_seed210,60,59,59,3,5.000000,0.000000,2492.000000,2492.000000,2492.000000,1.000000,0,0,1.000000,5.000000,0.200000,234.892058,0.251179,88.500000,0.666667
random_tree_n60_seed210,60,59,59,4,7.000000,0.000000,2492.000000,2492.000000,2492.000000,1.000000,0,0,1.000000,7.000000,0.142857,166.989461,0.353316,78.666667,0.750000
random_tree_n60_seed210,60,59,59,5,9.000000,0.000000,2492.000000,2492.000000,2492.000000,1.000000,0,0,1.000000,9.000000,0.111111,136.075989,0.433581,73.750000,0.800000
random_tree_n100_seed211,100,99,99,1,1.000000,0.000000,4812.000000,4812.000000,4812.000000,1.000000,0,0,1.000000,1.000000,1.000000,10000.000000,0.009900,NaN,NaN
random_tree_n100_seed211,100,99,99,2,3.000000,0.000000,4812.000000,4812.000000,4812.000000,1.000000,0,0,1.000000,3.000000,0.333333,1000.000000,0.099000,198.000000,0.500000
random_tree_n100_seed211,100,99,99,3,5.000000,0.000000,4812.000000,4812.000000,4812.000000,1.000000,0,0,1.000000,5.000000,0.200000,464.158883,0.213289,148.500000,0.666667
random_tree_n100_seed211,100,99,99,4,7.000000,0.000000,4812.000000,4812.000000,4812.000000,1.000000,0,0,1.000000,7.000000,0.142857,316.227766,0.313065,132.000000,0.750000
random_tree_n100_seed211,100,99,99,5,9.000000,0.000000,4812.000000,4812.000000,4812.000000,1.000000,0,0,1.000000,9.000000,0.111111,251.188643,0.394126,123.750000,0.800000
random_tree_n150_seed212,150,149,149,1,1.000000,0.000000,7847.000000,7847.000000,7847.000000,1.000000,0,1,1.000000,1.000000,1.000000,22500.000000,0.006622,NaN,NaN
random_tree_n150_seed212,150,149,149,2,3.000000,0.000000,7847.000000,7847.000000,7847.000000,1.000000,0,1,1.000000,3.000000,0.333333,1837.117307,0.081105,298.000000,0.500000
random_tree_n150_seed212,150,149,149,3,5.000000,0.000000,7847.000000,7847.000000,7847.000000,1.000000,0,0,1.000000,5.000000,0.200000,796.993927,0.186952,223.500000,0.666667
random_tree_n150_seed212,150,149,149,4,7.000000,0.000000,7847.000000,7847.000000,7847.000000,1.000000,0,0,1.000000,7.000000,0.142857,524.945327,0.283839,198.666667,0.750000
random_tree_n150_seed212,150,149,149,5,9.000000,0.000000,7847.000000,7847.000000,7847.000000,1.000000,0,0,1.000000,9.000000,0.111111,408.610489,0.364650,186.250000,0.800000
complete_n30_seed220,30,435,64,1,1.000000,85.287356,21168.000000,490.000000,119.000000,1.000000,0,2,4.117647,1.000000,1.000000,900.000000,0.071111,NaN,NaN
complete_n30_seed220,30,435,32,2,3.000000,92.643678,21168.000000,142.000000,119.000000,3.000000,0,1,1.193277,3.000000,1.000000,164.316767,0.194746,NaN,NaN
complete_n30_seed220,30,435,29,3,5.000000,93.333333,21168.000000,119.000000,119.000000,5.000000,0,1,1.000000,5.000000,1.000000,93.216975,0.311102,NaN,NaN
complete_n30_seed220,30,435,29,4,7.000000,93.333333,21168.000000,119.000000,119.000000,5.000000,0,2,1.000000,7.000000,0.714286,70.210420,0.413044,NaN,NaN
complete_n30_seed220,30,435,29,5,9.000000,93.333333,21168.000000,119.000000,119.000000,5.000000,0,1,1.000000,9.000000,0.555556,59.230515,0.489612,NaN,NaN
complete_n40_seed221,40,780,90,1,1.000000,88.461538,39011.000000,644.000000,143.000000,1.000000,0,5,4.503497,1.000000,1.000000,1600.000000,0.056250,NaN,NaN
complete_n40_seed221,40,780,45,2,3.000000,94.230769,39011.000000,169.000000,143.000000,2.777778,0,5,1.181818,3.000000,0.925926,252.982213,0.177878,NaN,NaN
complete_n40_seed221,40,780,40,3,5.000000,94.871795,39011.000000,147.000000,143.000000,4.800000,0,4,1.027972,5.000000,0.960000,136.798076,0.292402,NaN,NaN
complete_n40_seed221,40,780,40,4,7.000000,94.871795,39011.000000,148.000000,143.000000,5.750000,0,5,1.034965,7.000000,0.821429,100.594674,0.397635,NaN,NaN
complete_n40_seed221,40,780,39,5,9.000000,95.000000,39011.000000,143.000000,143.000000,7.400000,0,2,1.000000,9.000000,0.822222,83.651164,0.466222,NaN,NaN
complete_n50_seed222,50,1225,123,1,1.000000,89.959184,60759.000000,619.000000,123.000000,1.000000,0,8,5.032520,1.000000,1.000000,2500.000000,0.049200,NaN,NaN
complete_n50_seed222,50,1225,59,2,3.000000,95.183673,60759.000000,157.000000,123.000000,3.000000,0,5,1.276423,3.000000,1.000000,353.553391,0.166877,NaN,NaN
complete_n50_seed222,50,1225,50,3,5.000000,95.918367,60759.000000,126.000000,123.000000,5.000000,0,5,1.024390,5.000000,1.000000,184.201575,0.271442,NaN,NaN
complete_n50_seed222,50,1225,50,4,7.000000,95.918367,60759.000000,127.000000,123.000000,7.000000,0,3,1.032520,7.000000,1.000000,132.957397,0.376060,NaN,NaN
complete_n50_seed222,50,1225,49,5,9.000000,96.000000,60759.000000,123.000000,123.000000,7.500000,0,3,1.000000,9.000000,0.833333,109.336207,0.448159,NaN,NaN
complete_unit_n20,20,190,190,1,1.000000,0.000000,190.000000,190.000000,19.000000,1.000000,0,0,10.000000,1.000000,1.000000,400.000000,0.475000,NaN,NaN
complete_unit_n20,20,190,19,2,3.000000,90.000000,190.000000,19.000000,19.000000,2.000000,0,0,1.000000,3.000000,0.666667,89.442719,0.212426,NaN,NaN
complete_unit_n20,20,190,19,3,5.000000,90.000000,190.000000,19.000000,19.000000,2.000000,0,0,1.000000,5.000000,0.400000,54.288352,0.349983,NaN,NaN
complete_unit_n20,20,190,19,4,7.000000,90.000000,190.000000,19.000000,19.000000,2.000000,0,0,1.000000,7.000000,0.285714,42.294851,0.449227,NaN,NaN
complete_unit_n20,20,190,19,5,9.000000,90.000000,190.000000,19.000000,19.000000,2.000000,0,0,1.000000,9.000000,0.222222,36.411284,0.521816,NaN,NaN
complete_unit_n40,40,780,780,1,1.000000,0.000000,780.000000,780.000000,39.000000,1.000000,0,8,20.000000,1.000000,1.000000,1600.000000,0.487500,NaN,NaN
complete_unit_n40,40,780,39,2,3.000000,95.000000,780.000000,39.000000,39.000000,2.000000,0,2,1.000000,3.000000,0.666667,252.982213,0.154161,NaN,NaN
complete_unit_n40,40,780,39,3,5.000000,95.000000,780.000000,39.000000,39.000000,2.000000,0,2,1.000000,5.000000,0.400000,136.798076,0.285092,NaN,NaN
complete_unit_n40,40,780,39,4,7.000000,95.000000,780.000000,39.000000,39.000000,2.000000,0,2,1.000000,7.000000,0.285714,100.594674,0.387694,NaN,NaN
complete_unit_n40,40,780,39,5,9.000000,95.000000,780.000000,39.000000,39.000000,2.000000,0,2,1.000000,9.000000,0.222222,83.651164,0.466222,NaN,NaN
random_connected_sparse_n60_extra60_seed300,60,119,109,1,1.000000,8.403361,6235.000000,5354.000000,1849.000000,1.000000,0,0,2.895619,1.000000,1.000000,3600.000000,0.030278,NaN,NaN
random_connected_sparse_n60_extra60_seed300,60,119,65,2,3.000000,45.378151,6235.000000,2188.000000,1849.000000,2.881579,0,0,1.183342,3.000000,0.960526,464.758002,0.139858,NaN,NaN
random_connected_sparse_n60_extra60_seed300,60,119,61,3,5.000000,48.739496,6235.000000,1974.000000,1849.000000,3.800000,0,0,1.067604,5.000000,0.760000,234.892058,0.259694,NaN,NaN
random_connected_sparse_n60_extra60_seed300,60,119,59,4,7.000000,50.420168,6235.000000,1849.000000,1849.000000,6.542857,0,0,1.000000,7.000000,0.934694,166.989461,0.353316,NaN,NaN
random_connected_sparse_n60_extra60_seed300,60,119,59,5,9.000000,50.420168,6235.000000,1849.000000,1849.000000,6.542857,0,0,1.000000,9.000000,0.726984,136.075989,0.433581,NaN,NaN
random_connected_sparse_n100_extra100_seed301,100,199,191,1,1.000000,4.020101,9444.000000,8850.000000,2584.000000,1.000000,0,1,3.424923,1.000000,1.000000,10000.000000,0.019100,NaN,NaN
random_connected_sparse_n100_extra100_seed301,100,199,124,2,3.000000,37.688442,9444.000000,4025.000000,2584.000000,2.934211,0,1,1.557663,3.000000,0.978070,1000.000000,0.124000,NaN,NaN
random_connected_sparse_n100_extra100_seed301,100,199,105,3,5.000000,47.236181,9444.000000,2913.000000,2584.000000,5.000000,0,1,1.127322,5.000000,1.000000,464.158883,0.226216,NaN,NaN
random_connected_sparse_n100_extra100_seed301,100,199,100,4,7.000000,49.748744,9444.000000,2631.000000,2584.000000,5.923077,0,1,1.018189,7.000000,0.846154,316.227766,0.316228,NaN,NaN
random_connected_sparse_n100_extra100_seed301,100,199,99,5,9.000000,50.251256,9444.000000,2584.000000,2584.000000,7.510638,0,0,1.000000,9.000000,0.834515,251.188643,0.394126,NaN,NaN
random_connected_sparse_n150_extra150_seed302,150,299,290,1,1.000000,3.010033,15518.000000,14815.000000,4712.000000,1.000000,0,3,3.144100,1.000000,1.000000,22500.000000,0.012889,NaN,NaN
random_connected_sparse_n150_extra150_seed302,150,299,192,2,3.000000,35.785953,15518.000000,7383.000000,4712.000000,2.975610,0,3,1.566851,3.000000,0.991870,1837.117307,0.104512,NaN,NaN
random_connected_sparse_n150_extra150_seed302,150,299,165,3,5.000000,44.816054,15518.000000,5687.000000,4712.000000,4.880952,0,2,1.206919,5.000000,0.976190,796.993927,0.207028,NaN,NaN
random_connected_sparse_n150_extra150_seed302,150,299,154,4,7.000000,48.494983,15518.000000,4947.000000,4712.000000,6.511628,0,2,1.049873,7.000000,0.930233,524.945327,0.293364,NaN,NaN
random_connected_sparse_n150_extra150_seed302,150,299,151,5,9.000000,49.498328,15518.000000,4795.000000,4712.000000,7.435897,0,2,1.017615,9.000000,0.826211,408.610489,0.369545,NaN,NaN
